zona_leste,zona_norte,zona_oeste,zona_sul,quartos,area,preco
0,1,0,0,1.0986122886681096,4.836281906951478,7.3658128372094716
0,1,0,0,1.6094379124341003,5.755742213586912,9.179984251961283
0,0,0,1,1.3862943611198906,4.912654885736052,8.412054873292933
1,0,0,0,0.6931471805599453,4.330733340286331,6.68586094706836
0,0,0,1,1.791759469228055,5.602118820879701,8.853808274977197
0,0,0,1,1.0986122886681096,4.110873864173311,7.438971592395862
0,1,0,0,0.6931471805599453,3.713572066704308,6.621405651764134
0,1,0,0,0.6931471805599453,5.303304908059076,7.048386408721883
0,1,0,0,1.0986122886681096,4.51085950651685,7.496097345175956
1,0,0,0,1.3862943611198906,5.017279836814924,7.696667081526462
0,1,0,0,1.3862943611198906,4.394449154672439,7.244941546337007
0,0,1,0,1.0986122886681096,5.484796933490655,8.699681400989514
0,1,0,0,1.0986122886681096,4.442651256490317,7.496097345175956
0,1,0,0,1.791759469228055,6.621405651764134,8.665785595466064
1,0,0,0,1.3862943611198906,4.875197323201151,7.3783837129967145
0,0,0,1,1.6094379124341003,5.703782474656201,8.922791623969637
0,1,0,0,1.0986122886681096,3.713572066704308,7.00397413672268
0,0,0,1,1.791759469228055,5.988961416889864,8.853808274977197
0,0,1,0,1.9459101490553132,5.983936280687191,10.819798284210286
0,0,1,0,1.0986122886681096,5.673323267171493,8.612685172875459
0,1,0,0,1.0986122886681096,4.709530201312334,6.2166061010848646
0,0,1,0,1.0986122886681096,4.605170185988092,7.783640596221253
1,0,0,0,0.6931471805599453,4.2626798770413155,6.90875477931522
0,0,1,0,1.791759469228055,5.924255797414532,9.210440366976517
1,0,0,0,1.0986122886681096,4.844187086458591,7.824445930877619
0,1,0,0,0.6931471805599453,3.713572066704308,6.55250788703459
0,1,0,0,1.0986122886681096,4.110873864173311,7.00397413672268
0,1,0,0,0.6931471805599453,4.51085950651685,6.55250788703459
0,1,0,0,1.0986122886681096,3.4339872044851463,6.647688373563329
1,0,0,0,1.3862943611198906,4.61512051684126,7.783640596221253
1,0,0,0,1.6094379124341003,5.638354669333745,8.699681400989514
0,0,0,1,0.6931471805599453,3.332204510175204,7.438971592395862
0,0,1,0,1.3862943611198906,4.875197323201151,7.937731775260109
1,0,0,0,1.0986122886681096,5.564520407322694,7.901377353792616
0,0,1,0,1.3862943611198906,5.14166355650266,8.071218539969863
1,0,0,0,1.0986122886681096,4.189654742026425,7.313886831633462
0,0,0,1,1.0986122886681096,4.564348191467836,7.844240718141811
1,0,0,0,1.0986122886681096,4.672828834461906,7.550135342488429
0,0,0,1,1.0986122886681096,5.5053315359323625,8.881975184248867
1,0,0,0,1.0986122886681096,4.07753744390572,7.313886831633462
0,0,0,1,1.3862943611198906,5.3612921657094255,8.556606193773073
0,0,1,0,1.3862943611198906,5.10594547390058,7.937731775260109
1,0,0,0,1.0986122886681096,5.049856007249537,8.682877107057168
0,0,1,0,1.3862943611198906,5.303304908059076,8.517393171418904
0,1,0,0,1.6094379124341003,5.5254529391317835,8.216358332386156
0,0,1,0,1.3862943611198906,4.875197323201151,7.8636512654486515
1,0,0,0,1.0986122886681096,3.4339872044851463,6.2166061010848646
0,0,0,1,1.0986122886681096,4.110873864173311,7.1316985104669115
1,0,0,0,0.6931471805599453,3.9318256327243257,7.0909098220799835
0,0,1,0,1.6094379124341003,5.638354669333745,9.472781556562168
1,0,0,0,1.0986122886681096,4.394449154672439,7.313886831633462
0,0,0,1,1.0986122886681096,5.225746673713202,8.853808274977197
1,0,0,0,0.6931471805599453,5.942799375126701,7.313886831633462
